"Tax Rule ID";"Tax Rules Group ID";"Country ID";"State ID";"Zipcode From";"Zipcode To";"Tax ID";Behavior;Description
1;1;21;1;0;0;1;1;
2;2;21;2;0;0;2;1;
3;3;21;3;0;0;3;1;
4;4;21;4;0;0;4;1;
5;5;21;5;0;0;5;1;
6;6;21;6;0;0;6;1;
7;7;21;7;0;0;7;1;
8;8;21;8;0;0;8;1;
9;9;21;9;0;0;9;1;
10;10;21;10;0;0;10;1;
11;11;21;11;0;0;11;1;
12;12;21;12;0;0;12;1;
13;13;21;13;0;0;13;1;
14;14;21;14;0;0;14;1;
15;15;21;15;0;0;15;1;
16;16;21;16;0;0;16;1;
17;17;21;17;0;0;17;1;
18;18;21;18;0;0;18;1;
19;19;21;19;0;0;19;1;
20;20;21;20;0;0;20;1;
21;21;21;21;0;0;21;1;
22;22;21;22;0;0;22;1;
23;23;21;23;0;0;23;1;
24;24;21;24;0;0;24;1;
25;25;21;25;0;0;25;1;
26;26;21;26;0;0;26;1;
27;27;21;27;0;0;27;1;
28;28;21;28;0;0;28;1;
29;29;21;29;0;0;29;1;
30;30;21;30;0;0;30;1;
31;31;21;31;0;0;31;1;
32;32;21;32;0;0;32;1;
33;33;21;33;0;0;33;1;
34;34;21;34;0;0;34;1;
35;35;21;35;0;0;35;1;
36;36;21;36;0;0;36;1;
37;37;21;37;0;0;37;1;
38;38;21;38;0;0;38;1;
39;39;21;39;0;0;39;1;
40;40;21;40;0;0;40;1;
41;41;21;41;0;0;41;1;
42;42;21;42;0;0;42;1;
43;43;21;43;0;0;43;1;
44;44;21;44;0;0;44;1;
45;45;21;45;0;0;45;1;
46;46;21;46;0;0;46;1;
47;47;21;47;0;0;47;1;
48;48;21;48;0;0;48;1;
49;49;21;49;0;0;49;1;
50;50;21;50;0;0;50;1;
51;51;21;51;0;0;51;1;
52;52;21;53;0;0;52;1;
