"Tax ID";Name;Rate;Active;Deleted
1;"Sales-taxes US-AL 4%";4.000;1;
2;"Sales-taxes US-AK 0%";0.000;1;
3;"Sales-taxes US-AZ 6.6%";6.600;1;
4;"Sales-taxes US-AR 6%";6.000;1;
5;"Sales-taxes US-CA 8.25%";8.250;1;
6;"Sales-taxes US-CO 2.9%";2.900;1;
7;"Sales-taxes US-CT 0%";0.000;1;
8;"Sales-taxes US-DE 0%";0.000;1;
9;"Sales-taxes US-FL 6%";6.000;1;
10;"Sales-taxes US-GA 4%";4.000;1;
11;"Sales-taxes US-HI 4%";4.000;1;
12;"Sales-taxes US-ID 6%";6.000;1;
13;"Sales-taxes US-IL 6.25%";6.250;1;
14;"Sales-taxes US-IN 7%";7.000;1;
15;"Sales-taxes US-IA 6%";6.000;1;
16;"Sales-taxes US-KS 5.3%";5.300;1;
17;"Sales-taxes US-KY 6%";6.000;1;
18;"Sales-taxes US-LA 4%";4.000;1;
19;"Sales-taxes US-ME 5%";5.000;1;
20;"Sales-taxes US-MD 6%";6.000;1;
21;"Sales-taxes US-MA 6.25%";6.250;1;
22;"Sales-taxes US-MI 6%";6.000;1;
23;"Sales-taxes US-MN 6.875%";6.875;1;
24;"Sales-taxes US-MS 7%";7.000;1;
25;"Sales-taxes US-MO 4.225%";4.225;1;
26;"Sales-taxes US-MT 0.0%";0.000;1;
27;"Sales-taxes US-NE 5.5%";5.500;1;
28;"Sales-taxes US-NV 6.85%";6.850;1;
29;"Sales-taxes US-NH 0%";0.000;1;
30;"Sales-taxes US-NJ 7%";7.000;1;
31;"Sales-taxes US-NM 5.125%";5.125;1;
32;"Sales-taxes US-NY 4%";4.000;1;
33;"Sales-taxes US-NC 5.5%";5.500;1;
34;"Sales-taxes US-ND 5%";5.000;1;
35;"Sales-taxes US-OH 5.5%";5.500;1;
36;"Sales-taxes US-OK 4.5%";4.500;1;
37;"Sales-taxes US-OR 0%";0.000;1;
38;"Sales-taxes US-PA 6%";6.000;1;
39;"Sales-taxes US-RI 7%";7.000;1;
40;"Sales-taxes US-SC 6%";6.000;1;
41;"Sales-taxes US-SD 4%";4.000;1;
42;"Sales-taxes US-TN 7%";7.000;1;
43;"Sales-taxes US-TX 6.25%";6.250;1;
44;"Sales-taxes US-UT 4.75%";4.750;1;
45;"Sales-taxes US-VT 6%";6.000;1;
46;"Sales-taxes US-VA 4%";4.000;1;
47;"Sales-taxes US-WA 6.5%";6.500;1;
48;"Sales-taxes US-WV 6%";6.000;1;
49;"Sales-taxes US-WI 5%";5.000;1;
50;"Sales-taxes US-WY 4%";4.000;1;
51;"Sales-taxes US-PR 5.5%";5.500;1;
52;"Sales-taxes US-DC 6%";6.000;1;
